COD_ESC;ZONA;MUN;ED_INFANTIL;CLASSES ESPECIAIS;SALA DE RECURSO;ANOS INICIAIS;ANOS FINAIS;ENSINO M�DIO;EJA FUNDAMENTAL_AI;EJA FUNDAMENTAL_AF;EJA ENSINO MEDIO;
907819;1;FRANCA;0;0;0;176;0;0;0;0;0;
916110;1;FRANCA;0;0;0;0;362;176;0;0;0;
458831;1;FRANCA;0;0;0;0;0;0;0;0;0;
458892;1;ITIRAPUA;0;0;0;0;0;0;0;0;0;
22627;1;BEBEDOURO;0;9;0;0;270;115;0;0;0;
22767;1;BEBEDOURO;0;16;0;0;338;399;0;19;0;
433548;1;BEBEDOURO;0;0;0;0;0;0;0;0;0;
23760;1;JABOTICABAL;0;0;0;0;175;140;0;0;0;
21970;1;ARARAQUARA;0;21;0;0;160;349;0;0;0;
49633;1;MATAO;0;1;0;0;314;0;0;0;0;
21921;1;TRABIJU;0;0;0;0;0;80;0;0;0;
22822;1;FRANCA;0;0;0;0;292;16;0;0;0;
22895;1;FRANCA;0;9;0;278;0;0;0;0;0;
22950;1;FRANCA;0;0;0;0;549;0;0;0;0;
39007;1;FRANCA;0;0;0;0;181;71;0;0;0;
985818;1;FRANCA;0;0;0;0;0;0;0;0;0;
23097;1;PEDREGULHO;0;20;0;0;390;0;0;0;0;
23668;1;MONTE ALTO;0;5;0;0;404;249;0;44;100;
22949;1;BATATAIS;0;0;0;0;365;301;0;0;0;
24028;1;RIBEIRAO PRETO;0;0;0;0;255;568;0;0;0;
24090;1;RIBEIRAO PRETO;0;0;0;0;496;311;0;0;0;
350588;1;RIBEIRAO PRETO;0;0;0;0;210;641;0;0;109;
576487;1;RIBEIRAO PRETO;0;0;0;0;372;298;0;0;0;
900758;1;RIBEIRAO PRETO;0;0;0;0;375;341;0;0;0;
925718;1;RIBEIRAO PRETO;0;0;0;410;0;0;0;0;0;
913736;1;IBATE;0;4;0;0;311;216;0;24;23;
921981;1;SAO CARLOS;0;30;0;435;458;0;0;0;0;
903504;1;BORBOREMA;0;12;0;277;0;0;0;0;0;
25094;1;ITAPOLIS;0;0;0;74;48;71;0;0;0;
22559;1;PONTAL;0;0;0;0;116;80;0;0;0;
44635;1;SERTAOZINHO;0;9;0;0;148;308;0;107;86;
25987;1;AGUDOS;0;28;0;0;265;195;0;0;0;
453298;2;BALBINOS;0;0;0;0;0;0;12;45;55;
25318;1;BAURU;0;7;0;241;539;0;0;0;0;
25616;1;JAU;0;0;0;0;273;91;0;0;0;
479329;1;GUAICARA;0;9;0;0;248;0;0;0;0;
26165;1;LINS;0;0;0;0;490;0;0;0;0;
26189;1;LINS;0;23;0;0;178;301;0;0;90;
26451;1;LINS;0;0;0;464;0;0;0;0;0;
26736;1;ARIRANHA;0;20;0;0;367;222;0;34;79;
363613;1;CATANDUVA;0;0;0;0;0;0;0;0;0;
26578;1;CATIGUA;0;17;0;0;338;246;0;0;29;
26897;1;FERNANDOPOLIS;0;0;0;0;303;106;0;0;0;
26979;1;FERNANDOPOLIS;0;20;0;0;267;87;0;0;0;
30661;1;GENERAL SALGADO;0;0;0;0;0;220;0;0;0;
28502;1;POTIRENDABA;0;0;0;0;0;384;0;0;85;
436239;1;SAO JOSE DO RIO PRETO;0;0;0;0;507;478;0;0;0;
908149;1;SAO JOSE DO RIO PRETO;0;7;0;0;643;446;0;0;0;
27522;1;NOVA LUZITANIA;0;0;0;0;147;94;0;0;0;
453225;2;ANDRADINA;0;0;0;0;0;0;54;63;56;
924611;1;ARACATUBA;0;14;0;0;283;150;0;0;0;
30235;1;BILAC;0;6;0;0;264;193;0;0;0;
917643;1;BIRIGUI;0;25;0;0;372;211;0;0;0;
65341;2;BIRIGUI;0;0;0;0;0;0;9;20;8;
30181;1;GLICERIO;0;25;0;0;190;115;0;0;0;
30512;1;BRAUNA;0;9;0;0;282;151;0;0;0;
395365;2;BRAUNA;5;0;0;11;7;0;0;0;0;
30363;1;PENAPOLIS;0;19;0;0;321;266;0;0;0;
43114;1;PENAPOLIS;0;11;0;0;364;223;0;0;0;
30454;1;SANTOPOLIS DO AGUAPEI;0;8;0;0;195;108;0;0;0;
30788;1;LUCELIA;0;10;0;0;263;306;0;26;80;
919135;1;LINS;0;38;0;0;511;0;0;0;0;
577704;1;PALMARES PAULISTA;0;0;0;0;280;0;0;0;0;
47570;1;FERNANDOPOLIS;0;0;0;110;151;166;0;22;20;
27145;1;JALES;0;6;0;0;315;200;0;0;0;
